name,school,sex,prorank,url,picUrl
李欣,公共管理学院,女,副教授,http://faculty.uestc.edu.cn/lixin1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/6E/3D/9FE79DA2B50E88EC50EB46E0ED8_306F16DB_18649.png
康健,公共管理学院,男,讲师,http://faculty.uestc.edu.cn/kangjian/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/F/A4/88/6F232D41BECB30D2D0986A268DE_368FBFE5_2090C.png
匡亚林,公共管理学院,男,副教授,http://faculty.uestc.edu.cn/kuangyalin/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/C5/8B/A5747018BF577397DAD5025BD9A_19B919B0_ED25.png
冯小东,公共管理学院,男,副教授,http://faculty.uestc.edu.cn/fengxiaodong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/5F/86/D2995AD7EA52B3F47B2B74BC02C_AE2195C9_10EDB.jpg
魏强,经济与管理学院,男,助理研究员,http://faculty.uestc.edu.cn/weiqiang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/31/03/61ABACB25785403FB82DC11AC23_8A937F22_1E694.png
马永开,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/mayongkai/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/E7/57/002B92095FBEB014933F28D2F4A_BDAED8B3_E131.png
陈旭,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/chenxu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/9/F1/7F/4D23C449BB455C921BF7E5960DB_862787FB_BAF7.png
陆炜,经济与管理学院,女,副教授,http://faculty.uestc.edu.cn/luwei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/62/92/E8A2162EB91944DD43076D69139_6AD4BD14_517A3.jpeg
钱宇,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/qianyu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/D6/E8/DAD091932D569BA3162F542F6A7_9C909796_1954EA.jpeg
郭斌,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/guobin/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/88/E6/4D6FEEB8DEB6B58A0F2093AAA3C_52F4C501_17C95F.jpg
邵云飞,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/shaoyunfei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/B9/55/8618385965659B2374813AF028E_012C6E0E_BA8D.png
赵明,经济与管理学院,男,研究员,http://faculty.uestc.edu.cn/zhaoming1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/3/73/9F/067C90F2F7AA97D059D35D8BAF9_FBF16B82_D439.jpg
赵卫东,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/zhaoweidong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/F6/4B/FE5221372ED1224A5114A3770DB_0A34C7BC_1EE42.png
袁华,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/yuanhua/en/index.htm,https://faculty.uestc.edu.cn/__local/1/63/2A/E714DCF2535C3FAAA30CE06AC56_9E3208B7_235EB7.jpg
艾兴政,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/aixingzheng/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/B9/B3/5F71A350AF981B672F774259A18_8F3CC4FB_13BE6.png
肖文,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/xiaowen/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/ED/A9/5D912E4C927CBDD2B287C2797A7_A696665B_196BF.png
肖延高,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/xiaoyangao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/6A/71/BED4AE00D727D9C58CD8E92EA24_046ECCC3_105CC3.jpg
白春光,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/baichunguang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/3/78/5C/C5F30EE40D4D271984225F2B56A_B6D7987F_1C3A7.png
潘景铭,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/panjingming/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/34/CC/7A39529EE5EE87E6C416541812A_03F0772B_5F6B.jpg
梁德翠,经济与管理学院,男,研究员,http://faculty.uestc.edu.cn/liangdecui/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/F5/7C/627DFB3D5E889934087E2E7EAD2_0F57548E_12B8E.jpg
杨政,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/yangzheng/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/D/8E/0C/8459662DE1450FA0F30127D97C5_2FA49C38_5A705.jpg
李耀,经济与管理学院,女,副教授,http://faculty.uestc.edu.cn/liyao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/96/48/58FD811184C69267350CC50F62A_E314312A_A65D2.jpg
李登峰,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/lidengfeng/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/08/EA/9ED572994653D28D36E3A47D715_6BFB691E_2D1D0.png
李平,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/liping5/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/AF/86/82EC7793B5F9B8A4AB9508B055D_FA2E90ED_20992.jpg
方佳明,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/fangjm/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/8/BE/42/A5D69B4DE88E3E8736318D8C42F_C92CC8C2_1C3DA.png
彭怡,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/pengyi1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/9/1F/1D/7CAE40FA7BC42FC0A293CE29DB7_D760B10E_158A.jpg
彭岷,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/pengmin/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/37/D7/B63059FB786789506C5330AE7D5_7660E19B_1E6EB.png
张蕾,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/zhanglei1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/67/2F/DD395C9D344ACFA56C258A88CF3_FCBE6159_E06AB.jpg
张涛,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/zhangtao6/en/index.htm,https://faculty.uestc.edu.cn/__local/6/4A/D8/92906A86171205E3A4E76780371_4A495661_1B6FE.png
宋艳,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/songyan/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/84/06/89E378A43865D917300F27DFAB2_A29E4059_1CEA9.jpg
孔晓李,经济与管理学院,女,实验师,http://faculty.uestc.edu.cn/kongxiaoli/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/E1/90/412196362CC0D0E00742EAAC83F_577A62F1_CA4E.jpg
刘璞,经济与管理学院,男,副教授,http://faculty.uestc.edu.cn/liupu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/C/30/79/61A6B466B72514FE2619C354AC7_D3810A89_2710E.png
冯薇,经济与管理学院,女,教授,http://faculty.uestc.edu.cn/fengwei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/8/0F/20/70DE6FDCBB3C33802A4345AB4FE_FE8EAAA8_1A35E8.jpg
倪得兵,经济与管理学院,男,教授,http://faculty.uestc.edu.cn/nidebing/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/D/55/48/CD8E7A24502B108A5B85E4A9435_6331C972_CB36.png
黄健,生命科学与技术学院,男,教授,http://faculty.uestc.edu.cn/huangjian/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/DC/60/57C4ED2705A5C0D9B912D02159B_848AF59B_1CE53.png
陈华富,生命科学与技术学院,男,教授,http://faculty.uestc.edu.cn/chenhuafu/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/FD/41/F38A40A7E0787BECE4382934F8E_3DA07820_30C0.jpg
郭锋彪,生命科学与技术学院,男,教授,http://faculty.uestc.edu.cn/guofengbiao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/3/DB/26/B53225BEEF16E3D4CD494438F0B_514FDDFF_D66D.png
郭大庆,生命科学与技术学院,男,教授,http://faculty.uestc.edu.cn/guodaqing/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/3/61/7E/B6AB861BE3D74BF2FC9870F9AAF_8ECAE148_1423C.png
